AF	アフガニスタン
AX	オーランド諸島
AL	アルバニア
DZ	アルジェリア
AS	米領サモア
AD	アンドラ
AO	アンゴラ
AI	アンギラ
AQ	南極
AG	アンティグア・バーブーダ
AR	アルゼンチン
AM	アルメニア
AW	アルバ
AU	オーストラリア
AT	オーストリア
AZ	アゼルバイジャン
BS	バハマ
BH	バーレーン
BD	バングラデシュ
BB	バルバドス
BY	ベラルーシ
BE	ベルギー
BZ	ベリーズ
BJ	ベナン
BM	バミューダ諸島
BT	ブータン
BO	ボリビア
BQ	ボネール、シント・ユースタティウスおよびサバ
BA	ボスニア・ヘルツェゴビナ
BW	ボツワナ
BV	ブーベ島
BR	ブラジル
IO	英領インド洋地域
BN	ブルネイ
BG	ブルガリア
BF	ブルキナファソ
BI	ブルンジ
CV	カーボベルデ
KH	カンボジア
CM	カメルーン
CA	カナダ
KY	ケイマン諸島
CF	中央アフリカ
TD	チャド
CL	チリ
CN	中国
CX	クリスマス島
CC	ココス諸島
CO	コロンビア
KM	コモロ連合
CG	コンゴ共和国
CD	コンゴ民主共和国
CK	クック諸島
CR	コスタリカ
CI	コートジボワール
HR	クロアチア
CU	キューバ
CW	キュラソー
CY	キプロス
CZ	チェコ
DK	デンマーク
DJ	ジブチ
DM	ドミニカ国
DO	ドミニカ共和国
EC	エクアドル
EG	エジプト
SV	エルサルバドル
GQ	赤道ギニア
ER	エリトリア
EE	エストニア
SZ	エスワティニ
ET	エチオピア
FK	フォークランド諸島
FO	フェロー諸島
FJ	フィジー
FI	フィンランド
FR	フランス
GF	仏領ギアナ
PF	仏領ポリネシア
TF	仏領極南諸島
GA	ガボン
GM	ガンビア
GE	ジョージア
DE	ドイツ
GH	ガーナ
GI	ジブラルタル
GR	ギリシャ
GL	グリーンランド
GD	グレナダ
GP	グアドループ
GU	グアム
GT	グアテマラ
GG	ガーンジー
GN	ギニア
GW	ギニアビサウ
GY	ガイアナ
HT	ハイチ
HM	ハード島・マクドナルド諸島
VA	バチカン
HN	ホンジュラス
HK	香港
HU	ハンガリー
IS	アイスランド
IN	インド
ID	インドネシア
IR	イラン
IQ	イラク
IE	アイルランド
IM	マン島
IL	イスラエル
IT	イタリア
JM	ジャマイカ
JP	日本
JE	ジャージー
JO	ヨルダン
KZ	カザフスタン
KE	ケニア
KI	キリバス
KP	北朝鮮
KR	韓国
KW	クウェート
KG	キルギス
LA	ラオス
LV	ラトビア
LB	レバノン
LS	レソト
LR	リベリア
LY	リビア
LI	リヒテンシュタイン
LT	リトアニア
LU	ルクセンブルク
MO	マカオ
MG	マダガスカル
MW	マラウイ
MY	マレーシア
MV	モルディブ
ML	マリ
MT	マルタ
MH	マーシャル諸島
MQ	マルティニーク
MR	モーリタニア
MU	モーリシャス
YT	マヨット
MX	メキシコ
FM	ミクロネシア連邦
MD	モルドバ
MC	モナコ
MN	モンゴル
ME	モンテネグロ
MS	モントセラト
MA	モロッコ
MZ	モザンビーク
MM	ミャンマー
NA	ナミビア
NR	ナウル
NP	ネパール
NL	オランダ
NC	ニューカレドニア
NZ	ニュージーランド
NI	ニカラグア
NE	ニジェール
NG	ナイジェリア
NU	ニウエ
NF	ノーフォーク島
MK	北マケドニア
MP	北マリアナ諸島
NO	ノルウェー
OM	オマーン
PK	パキスタン
PW	パラオ
PS	パレスチナ
PA	パナマ
PG	パプアニューギニア
PY	パラグアイ
PE	ペルー
PH	フィリピン
PN	ピトケアン諸島
PL	ポーランド
PT	ポルトガル
PR	プエルトリコ
QA	カタール
RE	レユニオン
RO	ルーマニア
RU	ロシア
RW	ルワンダ
BL	サン・バルテルミー
SH	セントヘレナ
KN	セントクリストファー・ネイビス
LC	セントルシア
MF	サン・マルタン
PM	サンピエール・ミクロン
VC	セントビンセント・グレナディーン
WS	サモア
SM	サンマリノ
ST	サントメ・プリンシペ
SA	サウジアラビア
SN	セネガル
RS	セルビア
SC	セーシェル
SL	シエラレオネ
SG	シンガポール
SX	シント・マールテン
SK	スロバキア
SI	スロベニア
SB	ソロモン諸島
SO	ソマリア
ZA	南アフリカ
GS	サウスジョージア・サウスサンドウィッチ諸島
SS	南スーダン
ES	スペイン
LK	スリランカ
SD	スーダン
SR	スリナム
SJ	スヴァールバル諸島およびヤンマイエン島
SE	スウェーデン
CH	スイス
SY	シリア
TW	台湾
TJ	タジキスタン
TZ	タンザニア
TH	タイ
TL	東ティモール
TG	トーゴ
TK	トケラウ
TO	トンガ
TT	トリニダード・トバゴ
TN	チュニジア
TR	トルコ
TM	トルクメニスタン
TC	タークス・カイコス諸島
TV	ツバル
UG	ウガンダ
UA	ウクライナ
AE	アラブ首長国連邦
GB	英国
US	米国
UM	合衆国領有小離島
UY	ウルグアイ
UZ	ウズベキスタン
VU	バヌアツ
VE	ベネズエラ
VN	ベトナム
VG	英領ヴァージン諸島
VI	米領ヴァージン諸島
WF	ウォリス・フツナ
EH	西サハラ
YE	イエメン
ZM	ザンビア
ZW	ジンバブエ
XK	コソボ
CS	セルビア・モンテネグロ
YU	ユーゴスラビア
AN	オランダ領アンティル
A1	匿名プロキシ
A2	衛星プロバイダー
AP	アジア太平洋地域
EU	ヨーロッパ
ZZ	予約アドレス
