BT	不丹	不丹
TL	东帝汶	东帝汶
CN	中国	中国
CF	中非	中非
DK	丹麦	丹麦
UA	乌克兰	乌克兰
UZ	乌兹别克斯坦	乌兹别克斯坦
UG	乌干达	乌干达
UY	乌拉圭	乌拉圭
TD	乍得	乍得
YE	也门	也门
AP	亚太地区	亚洲
AM	亚美尼亚	亚美尼亚
IL	以色列	以色列
IQ	伊拉克	伊拉克
IR	伊朗	伊朗
BZ	伯利兹	伯利兹
CV	佛得角	佛得角
RU	俄罗斯	俄罗斯
BG	保加利亚	保加利亚
ZZ	保留地址	保留地址
HR	克罗地亚	克罗地亚
GU	关岛	关岛
GM	冈比亚	冈比亚
IS	冰岛	冰岛
GN	几内亚	几内亚
GW	几内亚比绍	几内亚比绍
LI	列支敦士登	列支敦士登
CG	刚果共和国	刚果共和国
CD	刚果民主共和国	刚果民主共和国
LY	利比亚	利比亚
LR	利比里亚	利比里亚
CA	加拿大	加拿大
GH	加纳	加纳
GA	加蓬	加蓬
HU	匈牙利	匈牙利
MK	北马其顿	北马其顿
MP	北马里亚纳群岛	北马里亚纳群岛
A1	匿名代理服务器
GS	南乔治亚和南桑威奇群岛
YU	南斯拉夫
AQ	南极洲	南极洲
SS	南苏丹	南苏丹
ZA	南非	南非
BW	博茨瓦纳	博茨瓦纳
QA	卡塔尔	卡塔尔
RW	卢旺达	卢旺达
LU	卢森堡	卢森堡
A2	卫星互联网服务提供商
IN	印度	印度
ID	印度尼西亚	印度尼西亚	印尼
GT	危地马拉	危地马拉
EC	厄瓜多尔	厄瓜多尔
ER	厄立特里亚	厄立特里亚
SY	叙利亚	叙利亚
CU	古巴	古巴
TW	台湾	台湾	台湾省	中国台湾	中国台湾省
KG	吉尔吉斯斯坦	吉尔吉斯斯坦
DJ	吉布提	吉布提
KZ	哈萨克斯坦	哈萨克斯坦
CO	哥伦比亚	哥伦比亚
CR	哥斯达黎加	哥斯达黎加
CM	喀麦隆	喀麦隆
TV	图瓦卢	图瓦卢
TM	土库曼斯坦	土库曼斯坦
TR	土耳其	土耳其
LC	圣卢西亚	圣卢西亚
KN	圣基茨和尼维斯	圣基茨和尼维斯
ST	圣多美和普林西比	圣多美和普林西比
BL	圣巴泰勒米	圣巴泰勒米
VC	圣文森特和格林纳丁斯	圣文森特和格林纳丁斯
PM	圣皮埃尔和密克隆	圣皮埃尔和密克隆群岛
CX	圣诞岛	圣诞岛
SH	圣赫勒拿、阿森松和特里斯坦-达库尼亚
SM	圣马力诺	圣马力诺
GY	圭亚那	圭亚那
TZ	坦桑尼亚	坦桑尼亚
EG	埃及	埃及
ET	埃塞俄比亚	埃塞俄比亚
KI	基里巴斯	基里巴斯
TJ	塔吉克斯坦	塔吉克斯坦
SN	塞内加尔	塞内加尔
RS	塞尔维亚	塞尔维亚
CS	塞尔维亚和黑山
SL	塞拉利昂	塞拉利昂
CY	塞浦路斯	塞浦路斯
SC	塞舌尔	塞舌尔
MX	墨西哥	墨西哥
TG	多哥	多哥
DM	多米尼克	多米尼克
DO	多米尼加	多米尼加
AX	奥兰	奥兰群岛
AT	奥地利	奥地利
VE	委内瑞拉	委内瑞拉
BD	孟加拉国	孟加拉国	孟加拉
AO	安哥拉	安哥拉
AI	安圭拉	安圭拉
AG	安提瓜和巴布达	安提瓜和巴布达
AD	安道尔	安道尔
FM	密克罗尼西亚联邦	密克罗尼西亚联邦
NI	尼加拉瓜	尼加拉瓜
NG	尼日利亚	尼日利亚
NE	尼日尔	尼日尔
NP	尼泊尔	尼泊尔
PS	巴勒斯坦	巴勒斯坦
BS	巴哈马	巴哈马
PK	巴基斯坦	巴基斯坦
BB	巴巴多斯	巴巴多斯
PG	巴布亚新几内亚	巴布亚新几内亚
PY	巴拉圭	巴拉圭
PA	巴拿马	巴拿马
BH	巴林	巴林
BR	巴西	巴西
BF	布基纳法索	布基纳法索
BI	布隆迪	布隆迪
BV	布韦岛
GR	希腊	希腊
PW	帕劳	帕劳
CK	库克群岛	库克群岛
CW	库拉索	库拉索
KY	开曼群岛	开曼群岛
DE	德国	德国
IT	意大利	意大利
SB	所罗门群岛	所罗门群岛
TK	托克劳	托克劳
LV	拉脱维亚	拉脱维亚
NO	挪威	挪威
CZ	捷克	捷克
MD	摩尔多瓦	摩尔多瓦
MA	摩洛哥	摩洛哥
MC	摩纳哥	摩纳哥
BN	文莱	文莱
FJ	斐济	斐济
SZ	斯威士兰	斯威士兰
SK	斯洛伐克	斯洛伐克
SI	斯洛文尼亚	斯洛文尼亚
SJ	斯瓦尔巴和扬马延
LK	斯里兰卡	斯里兰卡
SG	新加坡	新加坡	新加披
NC	新喀里多尼亚	新喀里多尼亚
NZ	新西兰	新西兰
JP	日本	日本
CL	智利	智利
KP	朝鲜	朝鲜
KH	柬埔寨	柬埔寨
GG	根西	根西岛
GD	格林纳达	格林纳达
GL	格陵兰	格陵兰
GE	格鲁吉亚	格鲁吉亚
VA	梵蒂冈	梵蒂冈
EU	欧洲	欧洲
BE	比利时	比利时
MR	毛里塔尼亚	毛里塔尼亚
MU	毛里求斯	毛里求斯
TO	汤加	汤加
SA	沙特阿拉伯	沙特阿拉伯
FR	法国	法国
TF	法属南部和南极领地
MF	法属圣马丁	法属圣马丁
GF	法属圭亚那	法属圭亚那
PF	法属波利尼西亚	法属波利尼西亚
FO	法罗群岛	法罗群岛
PL	波兰	波兰
PR	波多黎各	波多黎各
BA	波黑	波斯尼亚和黑塞哥维那
TH	泰国	泰国
JE	泽西	泽西岛
ZW	津巴布韦	津巴布韦
HN	洪都拉斯	洪都拉斯
HT	海地	海地
AU	澳大利亚	澳大利亚	澳洲
MO	澳门	澳门	澳门特区	澳门特别行政区	中国澳门	中国澳门特区	中国澳门特别行政区
IE	爱尔兰	爱尔兰
EE	爱沙尼亚	爱沙尼亚
JM	牙买加	牙买加
TC	特克斯和凯科斯群岛	特克斯和凯科斯群岛
TT	特立尼达和多巴哥	特立尼达和多巴哥
BO	玻利维亚	玻利维亚
NR	瑙鲁	瑙鲁
SE	瑞典	瑞典
CH	瑞士	瑞士
GP	瓜德罗普	瓜德罗普
WF	瓦利斯和富图纳	瓦利斯和富图纳群岛
VU	瓦努阿图	瓦努阿图
RE	留尼汪	留尼汪岛
BY	白俄罗斯	白俄罗斯
BM	百慕大	百慕大
PN	皮特凯恩群岛
GI	直布罗陀	直布罗陀
FK	福克兰群岛	福克兰群岛
KW	科威特	科威特
KM	科摩罗	科摩罗
CI	科特迪瓦	科特迪瓦
CC	科科斯（基林）群岛
XK	科索沃	科索沃
PE	秘鲁	秘鲁
TN	突尼斯	突尼斯
LT	立陶宛	立陶宛
SO	索马里	索马里
JO	约旦	约旦
NA	纳米比亚	纳米比亚
NU	纽埃	纽埃
MM	缅甸	缅甸
RO	罗马尼亚	罗马尼亚
US	美国	美国		加利福尼亚州美国	联合国
UM	美国本土外小岛屿
VI	美属维尔京群岛	美属维尔京群岛
AS	美属萨摩亚	美属萨摩亚
LA	老挝	老挝
KE	肯尼亚	肯尼亚
FI	芬兰	芬兰
SD	苏丹	苏丹
SR	苏里南	苏里南
GB	英国	英国		苏格兰
IO	英属印度洋领地	英属印度洋领地
VG	英属维尔京群岛	英属维尔京群岛
NL	荷兰	荷兰
BQ	荷兰加勒比区	荷兰加勒比
SX	荷属圣马丁	荷属圣马丁
AN	荷属安的列斯
MZ	莫桑比克	莫桑比克
LS	莱索托	莱索托
PH	菲律宾	菲律宾
SV	萨尔瓦多	萨尔瓦多
WS	萨摩亚	萨摩亚
PT	葡萄牙	葡萄牙
MN	蒙古	蒙古
MS	蒙特塞拉特	蒙特塞拉特岛
EH	西撒哈拉
ES	西班牙	西班牙
NF	诺福克岛	诺福克岛
BJ	贝宁	贝宁
ZM	赞比亚	赞比亚
GQ	赤道几内亚	赤道几内亚
HM	赫德岛和麦克唐纳群岛
VN	越南	越南
AZ	阿塞拜疆	阿塞拜疆
AF	阿富汗	阿富汗
DZ	阿尔及利亚	阿尔及利亚
AL	阿尔巴尼亚	阿尔巴尼亚
OM	阿曼	阿曼
AR	阿根廷	阿根廷
AE	阿联酋	阿联酋
AW	阿鲁巴	阿鲁巴
KR	韩国	韩国
HK	香港	香港	香港特区	香港特别行政区	中国香港	中国香港特区	中国香港特别行政区
MV	马尔代夫	马尔代夫
IM	马恩岛	马恩岛
MW	马拉维	马拉维
MQ	马提尼克	马提尼克
MY	马来西亚	马来西亚
YT	马约特	马约特
MH	马绍尔群岛	马绍尔群岛
MT	马耳他	马耳他
MG	马达加斯加	马达加斯加
ML	马里	马里
LB	黎巴嫩	黎巴嫩
ME	黑山	黑山
